-0.11,39.03,-0.25,0.44,14692369

-0.05,32.44,-0.25,0.41,14692470

-0.08,39.42,-0.26,0.41,14692571

-0.11,52.09,-0.24,0.41,14692672

-0.08,51.97,-0.25,0.41,14692773

-0.05,52.12,-0.25,0.41,14692874

-0.02,51.74,-0.25,0.44,14692975

0.08,51.80,-0.21,0.44,14693076

0.08,51.50,-0.22,0.44,14693177

0.05,40.07,-0.25,0.44,14693278

0.20,39.95,-0.27,0.44,14693379

0.29,40.04,-0.27,0.41,14693480

0.26,40.10,-0.25,0.41,14693581

0.35,40.18,-0.25,0.41,14693682

0.14,40.15,-0.22,0.41,14693783

0.50,40.07,-0.22,0.41,14693884

1.35,40.13,-0.17,0.47,14693985

2.24,51.62,-0.05,0.47,14694086

2.92,52.09,0.13,0.47,14694187

3.60,52.33,0.13,0.47,14694288

4.55,52.42,0.11,0.47,14694389

5.58,40.18,0.15,0.32,14694490

6.73,52.83,0.18,0.32,14694591

7.56,53.10,0.15,0.32,14694692

8.45,53.30,0.13,0.32,14694793

9.24,53.16,0.13,0.32,14694894

10.31,53.01,0.26,0.32,14694995

11.87,53.01,0.26,0.32,14695096

13.12,43.85,0.32,0.32,14695197

14.83,44.03,0.32,0.32,14695298

15.36,34.27,0.27,0.38,14695399

16.01,38.74,0.26,0.38,14695500

17.40,41.01,0.32,0.38,14695601

18.67,42.58,0.32,0.38,14695702

17.61,43.14,0.39,0.38,14695803

11.05,40.83,-0.14,0.35,14695904

3.07,38.53,-1.52,0.35,14696005

2.06,38.41,-1.45,0.35,14696106

1.74,38.59,-1.32,0.35,14696207

1.47,38.85,-1.32,0.35,14696308

1.24,38.97,-1.13,0.35,14696409

0.94,39.06,-0.98,0.35,14696510

0.70,38.94,-0.87,0.35,14696611

0.38,51.65,-0.70,0.35,14696712

0.26,52.06,-0.50,0.35,14696813

0.17,51.83,-0.40,0.44,14696914

0.05,51.41,-0.35,0.44,14697015

0.00,39.59,-0.35,0.44,14697116

-0.05,39.77,-0.27,0.44,14697217

-0.02,39.83,-0.27,0.44,14697318

-0.08,39.74,-0.27,0.44,14697419

-0.08,39.74,-0.25,0.44,14697520

-0.11,39.71,-0.25,0.44,14697621

-0.05,39.83,-0.22,0.44,14697722

-0.11,39.86,-0.22,0.44,14697823

-0.08,38.47,-0.25,0.38,14697924

-0.11,39.86,-0.25,0.38,14698025

-0.05,51.47,-0.26,0.38,14698126

-0.11,51.59,-0.45,0.38,14698227

-0.14,51.86,-0.26,0.38,14698328

-0.11,32.71,-0.25,0.41,14698429

-0.05,51.80,-0.25,0.41,14698530

-0.08,52.06,-0.24,0.41,14698631

-0.11,51.71,-0.22,0.41,14698732

-0.02,51.89,-0.22,0.41,14698833

0.02,51.71,-0.22,0.38,14698934

-0.05,39.89,-0.22,0.38,14699035

0.05,39.77,-0.22,0.38,14699136

0.17,39.77,-0.21,0.38,14699237

0.17,39.95,-0.17,0.38,14699338

0.38,40.27,-0.22,0.38,14699439

0.23,50.94,-0.17,0.38,14699540

0.53,51.00,-0.24,0.38,14699641

0.76,51.27,-0.24,0.38,14699742

1.62,51.56,-0.05,0.38,14699843

2.48,40.63,0.11,0.41,14699944

3.19,33.95,0.11,0.41,14700045

3.84,35.78,0.08,0.41,14700146

4.66,37.14,0.05,0.41,14700247

5.88,38.35,0.15,0.35,14700348

6.88,39.53,0.14,0.35,14700449

7.89,40.36,0.14,0.35,14700550

8.71,41.01,0.10,0.35,14700651

10.78,41.60,0.10,0.35,14700752

12.26,53.01,0.23,0.38,14700853

13.50,52.77,0.26,0.38,14700954

14.24,44.17,0.30,0.38,14701055

14.95,44.17,0.32,0.38,14701156

15.42,44.41,0.23,0.38,14701257

16.37,34.54,0.23,0.41,14701358
